id_participante,rubro_artesanal,actividades_completadas,total_actividades,pretest,postest,analisis_producto,uso_ia,comparacion_rediseno,presentacion_formato,usabilidad,satisfaccion,comentario_abierto
P001,Reciclados,14,18,4,9,2,2,4,2,4.1,3.8,Aprendí a comparar mi diseño inicial con una versión mejorada.
P002,Cuero,13,18,3,5,3,2,2,2,4.4,3.8,La experiencia fue positiva y mejoró mi presentación final.
P003,Joyería,12,18,4,6,4,3,2,2,3.7,4.8,Necesité más acompañamiento para completar algunas tareas.
P004,Joyería,15,18,4,6,3,4,4,2,3.7,4.4,La herramienta permitió innovar en mis productos artesanales.
P005,Joyería,14,18,3,5,2,4,2,3,4.6,4.3,Muy útil para aplicar nuevas técnicas en mi emprendimiento.
P006,Madera,15,18,6,10,2,2,4,2,3.7,4.1,Algunas funciones fueron confusas y requerí más tiempo de práctica.
P007,Joyería,14,18,6,10,2,2,4,3,3.8,4.1,Algunas funciones fueron confusas y requerí más tiempo de práctica.
P008,Joyería,15,18,3,5,4,3,3,4,4.1,4.3,Algunas funciones fueron confusas y requerí más tiempo de práctica.
P009,Cuero,12,18,3,7,4,4,2,2,4.6,4.1,La experiencia fue positiva y mejoró mi presentación final.
P010,Reciclados,17,18,6,10,3,4,3,2,4.9,4.2,La experiencia fue positiva y mejoró mi presentación final.
P011,Textil,12,18,6,8,3,2,4,2,4.2,4.9,Algunas funciones fueron confusas y requerí más tiempo de práctica.
P012,Cuero,12,18,4,9,4,3,2,3,4.8,4.1,Las instrucciones fueron claras y pude avanzar sin problemas.
P013,Textil,14,18,6,9,2,2,2,2,4.5,3.7,La experiencia fue positiva y mejoró mi presentación final.
P014,Cerámica,13,18,5,9,2,3,4,3,4.5,4.1,"Me costó entender algunos prompts al inicio, pero luego mejoré."
P015,Reciclados,17,18,3,8,4,3,3,3,4.2,4.3,Las instrucciones fueron claras y pude avanzar sin problemas.
P016,Textil,12,18,4,6,3,2,2,3,4.4,3.8,La experiencia fue positiva y mejoró mi presentación final.
P017,Joyería,13,18,3,7,2,2,2,4,4.1,4.5,Muy útil para aplicar nuevas técnicas en mi emprendimiento.
P018,Cerámica,16,18,5,10,2,3,3,3,4.3,3.8,"Excelente experiencia, las actividades fueron claras e interesantes."
P019,Cuero,17,18,5,9,4,2,4,2,3.9,4.9,Muy útil para aplicar nuevas técnicas en mi emprendimiento.
P020,Reciclados,13,18,3,7,2,4,3,4,4.1,3.9,La herramienta permitió innovar en mis productos artesanales.
